序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1,688828,国仪公司,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:5,900万元至7,500万元,同比上年变动:-3.34%至18.71%。",-67000000.0,7.685,"得益于高端科学仪器市场蓬勃发展、公司品牌影响力持续提升,2026年1-6月,公司预计实现营业收入较上年同期增加40.18%至63.54%。预计归属于母公司所有者的净利润较上年同期变动-3.34%至18.71%,扣除非经常性损益后归属于母公司所有者的净利润较上年同期变动-6.84%至14.80%,主要系公司持续加码市场开拓与新品研发投入,相关费用金额较去年同期有所增长,因此归母净利润同比变动幅度低于营业收入。",续亏,-72578100.0,2026-08-06
2,688828,国仪公司,营业收入,"预计2026年1-6月营业收入:24,000万元至28,000万元,同比上年增长:40.18%至63.54%。",260000000.0,51.86,"得益于高端科学仪器市场蓬勃发展、公司品牌影响力持续提升,2026年1-6月,公司预计实现营业收入较上年同期增加40.18%至63.54%。预计归属于母公司所有者的净利润较上年同期变动-3.34%至18.71%,扣除非经常性损益后归属于母公司所有者的净利润较上年同期变动-6.84%至14.80%,主要系公司持续加码市场开拓与新品研发投入,相关费用金额较去年同期有所增长,因此归母净利润同比变动幅度低于营业收入。",预增,171214500.0,2026-08-06
3,688828,国仪公司,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:6,300万元至7,900万元,同比上年变动:-6.84%至14.8%。",-71000000.0,3.98,"得益于高端科学仪器市场蓬勃发展、公司品牌影响力持续提升,2026年1-6月,公司预计实现营业收入较上年同期增加40.18%至63.54%。预计归属于母公司所有者的净利润较上年同期变动-3.34%至18.71%,扣除非经常性损益后归属于母公司所有者的净利润较上年同期变动-6.84%至14.80%,主要系公司持续加码市场开拓与新品研发投入,相关费用金额较去年同期有所增长,因此归母净利润同比变动幅度低于营业收入。",续亏,-73941600.0,2026-08-06
4,688758,赛分科技,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:9,660万元至11,270万元,同比上年增长:80%至110%,同比上年增长4,294.08万元至5,904.08万元。",104650000.0,95.0,"2026年上半年,公司深耕分析色谱、工业纯化双赛道,落实双轮驱动战略。凭借二十余年色谱分离材料技术积累,公司持续推进自主创新与产品性能迭代,经营规模稳步扩张。报告期内,公司经营质量持续改善,盈利韧性凸显,整体盈利能力与经营效益显著提升。同时,公司核心竞争力稳步增强,中美双生产基地辐射全球市场的产业格局不断巩固,支撑企业中长期稳健成长。2026年作为""十五五""开局之年,国家将生物医药确立为国家新兴支柱产业,为行业长期发展提供坚实政策支撑。同时,全球多款重磅生物创新药迎来专利悬崖,驱动生物类似药研发与产业化进程提速,生物制药上游纯化填料市场需求持续扩容。公司紧抓行业高景气机遇,持续完善产业布局,覆盖抗体、胰岛素/多肽、GLP-1、重组蛋白、小核酸等细分纯化赛道,聚焦临床后期及商业化阶段项目,持续升级高性能工业纯化填料产品体系,精准匹配客户规模化生产需求。2026年上半年公司营收同比增长预计超40%,其中工业纯化板块同比增速预计突破60%,成为拉动公司整体业绩高速增长的核心引擎。报告期内,公司工业纯化业务新增项目133个,截至2026年6月底,工业纯化业务已累计储备项目1,281个,其中临床三期及商业化阶段项目125个,充足的项目储备构成公司业绩增长的坚实基本盘。本期公司业务增量实现多点释放:一方面,依托生物医药行业高景气态势,公司前期积淀的研发及临床早期项目持续迭代并逐步进入临床后期及商业化阶段,带动客户采购需求稳步释放、采购规模持续提升;另一方面,存量临床后期及商业化项目合作深度不断加大,叠加本期新开拓17个临床后期及商业化阶段项目,为业务持续增长注入强劲动能。经营管理层面,公司在业务快速扩张的同时,持续推进精细化运营与效能提升。2026年上半年,公司期间费用率同比进一步下行,费用管控成效显著,降本增持续落地,利润释放弹性不断增强,进一步巩固""利润增速高于营收增速""的高质量增长格局。",预增,53659200.0,2026-08-06
5,688758,赛分科技,营业收入,"预计2026年1-6月营业收入:25,570万元至28,310万元,同比上年增长:40%至55%,同比上年增长7,306.71万元至10,046.71万元。",269400000.0,47.5,"2026年上半年,公司深耕分析色谱、工业纯化双赛道,落实双轮驱动战略。凭借二十余年色谱分离材料技术积累,公司持续推进自主创新与产品性能迭代,经营规模稳步扩张。报告期内,公司经营质量持续改善,盈利韧性凸显,整体盈利能力与经营效益显著提升。同时,公司核心竞争力稳步增强,中美双生产基地辐射全球市场的产业格局不断巩固,支撑企业中长期稳健成长。2026年作为""十五五""开局之年,国家将生物医药确立为国家新兴支柱产业,为行业长期发展提供坚实政策支撑。同时,全球多款重磅生物创新药迎来专利悬崖,驱动生物类似药研发与产业化进程提速,生物制药上游纯化填料市场需求持续扩容。公司紧抓行业高景气机遇,持续完善产业布局,覆盖抗体、胰岛素/多肽、GLP-1、重组蛋白、小核酸等细分纯化赛道,聚焦临床后期及商业化阶段项目,持续升级高性能工业纯化填料产品体系,精准匹配客户规模化生产需求。2026年上半年公司营收同比增长预计超40%,其中工业纯化板块同比增速预计突破60%,成为拉动公司整体业绩高速增长的核心引擎。报告期内,公司工业纯化业务新增项目133个,截至2026年6月底,工业纯化业务已累计储备项目1,281个,其中临床三期及商业化阶段项目125个,充足的项目储备构成公司业绩增长的坚实基本盘。本期公司业务增量实现多点释放:一方面,依托生物医药行业高景气态势,公司前期积淀的研发及临床早期项目持续迭代并逐步进入临床后期及商业化阶段,带动客户采购需求稳步释放、采购规模持续提升;另一方面,存量临床后期及商业化项目合作深度不断加大,叠加本期新开拓17个临床后期及商业化阶段项目,为业务持续增长注入强劲动能。经营管理层面,公司在业务快速扩张的同时,持续推进精细化运营与效能提升。2026年上半年,公司期间费用率同比进一步下行,费用管控成效显著,降本增持续落地,利润释放弹性不断增强,进一步巩固""利润增速高于营收增速""的高质量增长格局。",预增,182632900.0,2026-08-06
6,688758,赛分科技,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:9,320万元至10,930万元,同比上年增长:100%至135%,同比上年增长4,669.71万元至6,279.71万元。",101250000.0,117.5,"2026年上半年,公司深耕分析色谱、工业纯化双赛道,落实双轮驱动战略。凭借二十余年色谱分离材料技术积累,公司持续推进自主创新与产品性能迭代,经营规模稳步扩张。报告期内,公司经营质量持续改善,盈利韧性凸显,整体盈利能力与经营效益显著提升。同时,公司核心竞争力稳步增强,中美双生产基地辐射全球市场的产业格局不断巩固,支撑企业中长期稳健成长。2026年作为""十五五""开局之年,国家将生物医药确立为国家新兴支柱产业,为行业长期发展提供坚实政策支撑。同时,全球多款重磅生物创新药迎来专利悬崖,驱动生物类似药研发与产业化进程提速,生物制药上游纯化填料市场需求持续扩容。公司紧抓行业高景气机遇,持续完善产业布局,覆盖抗体、胰岛素/多肽、GLP-1、重组蛋白、小核酸等细分纯化赛道,聚焦临床后期及商业化阶段项目,持续升级高性能工业纯化填料产品体系,精准匹配客户规模化生产需求。2026年上半年公司营收同比增长预计超40%,其中工业纯化板块同比增速预计突破60%,成为拉动公司整体业绩高速增长的核心引擎。报告期内,公司工业纯化业务新增项目133个,截至2026年6月底,工业纯化业务已累计储备项目1,281个,其中临床三期及商业化阶段项目125个,充足的项目储备构成公司业绩增长的坚实基本盘。本期公司业务增量实现多点释放:一方面,依托生物医药行业高景气态势,公司前期积淀的研发及临床早期项目持续迭代并逐步进入临床后期及商业化阶段,带动客户采购需求稳步释放、采购规模持续提升;另一方面,存量临床后期及商业化项目合作深度不断加大,叠加本期新开拓17个临床后期及商业化阶段项目,为业务持续增长注入强劲动能。经营管理层面,公司在业务快速扩张的同时,持续推进精细化运营与效能提升。2026年上半年,公司期间费用率同比进一步下行,费用管控成效显著,降本增持续落地,利润释放弹性不断增强,进一步巩固""利润增速高于营收增速""的高质量增长格局。",预增,46502900.0,2026-08-06
7,688331,荣昌生物,营业收入,"预计2026年1-6月营业收入约:585,000万元,同比上年增长:433%左右,同比上年增长475,205万元左右。",5850000000.0,433.0,"报告期内,本公司核心产品泰它西普、维迪西妥单抗国内销售收入持续增长;同时,本公司与艾伯维集团控股公司(以下简称""艾伯维"")就RC148签署独家授权许可协议,艾伯维将获得RC148在大中华区以外地区的开发、生产和商业化的独家权利,技术授权收入大幅增加,预计2026年上半年将实现盈利。",预增,1097953400.0,2026-08-06
8,688331,荣昌生物,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利约:470,000万元。",4700000000.0,1145.45,"报告期内,本公司核心产品泰它西普、维迪西妥单抗国内销售收入持续增长;同时,本公司与艾伯维集团控股公司(以下简称""艾伯维"")就RC148签署独家授权许可协议,艾伯维将获得RC148在大中华区以外地区的开发、生产和商业化的独家权利,技术授权收入大幅增加,预计2026年上半年将实现盈利。",扭亏,-449568700.0,2026-08-06
9,688331,荣昌生物,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利约:430,000万元。",4300000000.0,1065.17,"报告期内,本公司核心产品泰它西普、维迪西妥单抗国内销售收入持续增长;同时,本公司与艾伯维集团控股公司(以下简称""艾伯维"")就RC148签署独家授权许可协议,艾伯维将获得RC148在大中华区以外地区的开发、生产和商业化的独家权利,技术授权收入大幅增加,预计2026年上半年将实现盈利。",扭亏,-445517500.0,2026-08-06
10,301717,超纯应材,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:10,325万元至11,085万元,同比上年增长:67.81%至80.16%。",107050000.0,73.985,,预增,61529500.0,2026-08-06
11,301717,超纯应材,营业收入,"预计2026年1-6月营业收入:27,000万元至29,000万元,同比上年增长:30.86%至40.56%。",280000000.0,35.71,,略增,206324200.0,2026-08-06
12,301717,超纯应材,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:10,233万元至10,993万元,同比上年增长:22.95%至32.08%。",106130000.0,27.515,,略增,83230500.0,2026-08-06
13,301717,超纯应材,净利润,"预计2026年1-6月净利润盈利:10,260万元至11,020万元,同比上年增长:68.69%至81.19%。",106400000.0,74.94,,预增,60821600.0,2026-08-06
14,688510,航亚科技,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:4,850万元至5,350万元,同比上年下降:0.74%至10.02%。",51000000.0,-5.38,"报告期内,公司总体经营态势稳健,营业收入同比略有增幅,但主要受因美元贬值带来的汇兑损失增加以及信用减值损失计提增加影响,归属于上市公司股东的净利润和归属于上市公司股东的扣除非经常性损益的净利润同比有一定幅度降低。虽半年度利润阶段性承压,但经营质量在季度间呈现出积极变化,公司继续深耕优势业务与核心客户,持续优化市场布局与经营策略,客户需求相较一季度回升,产能逐步释放,二季度业绩环比改善明显。",略减,53899500.0,2026-08-05
15,688510,航亚科技,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:5,000万元至5,500万元,同比上年下降:10.15%至18.32%。",52500000.0,-14.235,"报告期内,公司总体经营态势稳健,营业收入同比略有增幅,但主要受因美元贬值带来的汇兑损失增加以及信用减值损失计提增加影响,归属于上市公司股东的净利润和归属于上市公司股东的扣除非经常性损益的净利润同比有一定幅度降低。虽半年度利润阶段性承压,但经营质量在季度间呈现出积极变化,公司继续深耕优势业务与核心客户,持续优化市场布局与经营策略,客户需求相较一季度回升,产能逐步释放,二季度业绩环比改善明显。",略减,61212700.0,2026-08-05
16,688510,航亚科技,营业收入,"预计2026年1-6月营业收入:37,000万元至38,000万元,同比上年增长:0.17%至2.88%。",375000000.0,1.525,"报告期内,公司总体经营态势稳健,营业收入同比略有增幅,但主要受因美元贬值带来的汇兑损失增加以及信用减值损失计提增加影响,归属于上市公司股东的净利润和归属于上市公司股东的扣除非经常性损益的净利润同比有一定幅度降低。虽半年度利润阶段性承压,但经营质量在季度间呈现出积极变化,公司继续深耕优势业务与核心客户,持续优化市场布局与经营策略,客户需求相较一季度回升,产能逐步释放,二季度业绩环比改善明显。",略增,369375200.0,2026-08-05
17,002933,新兴装备,每股收益,预计2026年1-6月每股收益盈利:0.11元至0.15元。,0.13,,"公司于2026年8月3日收到参股基金陕西汇盈润信兴秦股权投资合伙企业(有限合伙)基金管理人中信建投资本管理有限公司提供的《2026年第二季度报告》,依据报告所载期末基金单位净值及公司持有的基金份额重新测算,该项投资本期公允价值变动收益较前期业绩预告预估的金额增加800万元至1,000万元,属于非经常性损益。受该事项影响,公司对归属于上市公司股东的净利润、基本每股收益预测数据予以相应上调。",续盈,0.13,2026-08-05
